,0
numeric__V233,0.0028780590033239926
numeric__V167,0.0028294083931347884
numeric__D14_was_missing,0.0028271896391892965
categorical__R_emaildomain_grouped_anonymous.com,0.0027726652314028605
categorical__DeviceType_mobile,0.0027218087582928214
numeric__V158,0.0026789254468052442
numeric__id_20,0.002666292600213345
numeric__id_06,0.002576124129847662
numeric__D6_was_missing,0.002562052062345623
numeric__V81,0.0024159626989348217
numeric__V83,0.002415213380421398
numeric__V103,0.002410254760958799
categorical__ProductCD_R,0.0022795823806468123
categorical__ProductCD_W,0.0022050836533896775
numeric__V212,0.0020067565436483496
numeric__V12,0.0019668231649859007
numeric__V213,0.001910687992418661
numeric__V61,0.001905215210535398
numeric__V67,0.0018818801628868358
numeric__id_19,0.0018252927199822174
categorical__R_emaildomain_grouped_hotmail.com,0.0018015483425290744
numeric__V38,0.0017910956470806407
numeric__V189,0.0017868551775636209
numeric__V231,0.001769976069061292
categorical__M4_M0,0.0017391005384493616
numeric__V82,0.0017272044202112586
categorical__DeviceType_desktop,0.0016997200528085978
numeric__V86,0.0016989531214622311
numeric__V222,0.0016949024133335606
numeric__V303,0.001657892906146502
numeric__V157,0.0016468745274602259
numeric__V78,0.0015957407825678968
numeric__V93,0.0015483906365016031
numeric__V244,0.0015443231644774954
numeric__V20,0.0014884724387366336
numeric__V259,0.0014586146634773451
categorical__ProductCD_H,0.0014207765423883177
numeric__V56,0.001381080218567231
categorical__id_12_NotFound,0.0013055352955514922
numeric__id_13_was_missing,0.0011859211119007263
categorical__id_38_missing,0.001183794402421952
numeric__V154,0.0011338354726967066
categorical__id_36_F,0.0011020987855615185
numeric__V47,0.0010826759088427473
categorical__M4_M1,0.001068472289394373
numeric__V273,0.0010539262704861569
numeric__D9,0.0010428290831392178
numeric__V39,0.0010405124613566787
numeric__V37,0.0010226917553350775
numeric__V40,0.0010081528932549006
categorical__id_29_missing,0.0009888534586190865
numeric__id_13,0.0009856824738702136
numeric__V290,0.0009623037890410437
numeric__V18,0.0009449200069025046
categorical__id_34_missing,0.0009402646461126773
categorical__id_34_match_status:2,0.0009275433399881856
numeric__V155,0.0009172207219345566
categorical__id_38_T,0.0009136174028427274
categorical__id_35_T,0.0008558885488126666
categorical__id_38_F,0.0008250038385216415
numeric__V261,0.000802418809750383
numeric__V262,0.0007994354896147817
categorical__DeviceType_missing,0.000758237767214525
numeric__D13_was_missing,0.0007106638536818875
categorical__id_12_Found,0.0007036119124252361
numeric__V245,0.000669971355858027
categorical__id_15_missing,0.0006581398660837453
categorical__id_35_missing,0.0006304163399371989
numeric__V43,0.0006275932917464143
categorical__id_37_missing,0.0005866727964561866
numeric__V188,0.0005846165789671714
numeric__V176,0.0005755705629307559
numeric__V256,0.0005699049330186815
categorical__id_28_missing,0.0005362256029644469
categorical__id_12_missing,0.0005291745744264077
numeric__V23,0.0005270211834520953
numeric__V228,0.0005209725518039829
categorical__id_36_missing,0.0005185937072666814
numeric__V186,0.0004494372708867914
categorical__id_15_New,0.0004457939331770162
categorical__id_34_match_status:1,0.00044027539274921516
numeric__V251,0.0004237915329399015
categorical__id_37_T,0.0004192349048373508
categorical__id_16_NotFound,0.0004123899969416261
categorical__ProductCD_S,0.00040689065254647283
numeric__id_16_was_missing,0.0003755139573985953
categorical__id_15_Found,0.00034728155872174493
categorical__id_16_Found,0.0003352086307231782
categorical__id_37_F,0.0002840348339303088
categorical__id_28_New,0.00027633530175612573
categorical__id_29_Found,0.00027209948427937456
categorical__id_28_Found,0.00025610036861109466
categorical__id_36_T,0.00025083376872667715
categorical__id_16_missing,0.00024839047713868487
categorical__R_emaildomain_grouped_yahoo.com,0.0002375751730557464
categorical__id_29_NotFound,0.00021284925753304858
numeric__V195,0.00020529081130739616
