feature,near_zero_variance_dropped,correlation_redundancy_dropped,mutual_info_score,importance_score,mutual_info_rank,importance_rank
V318,False,False,0.005117612906657687,0.018509389268043918,225.0,8.0
V319,False,True,,,,
V320,False,False,0.002657780105105534,0.001689640552714235,276.0,129.0
V321,False,True,,,,
V322,False,False,0.0009138840629070444,0.000654684858048932,310.0,199.0
V323,False,False,0.0,0.0006739165885233283,333.0,197.0
V324,False,False,0.0013604562340738813,0.000644051438291998,295.0,201.0
V325,False,False,0.0,3.344271648171117e-05,333.0,330.0
V326,False,False,0.001016661914238659,0.00021868472993788083,307.0,278.0
V327,False,False,0.00011599423629804484,0.00016319031322454376,328.0,291.0
V328,False,False,0.0,2.6918900405774055e-05,333.0,333.0
V329,False,False,0.0,0.0002757974997229068,333.0,263.0
V330,False,False,0.0006386412951786546,6.638235836253927e-05,314.0,316.0
V331,False,True,,,,
V332,False,False,0.0005876875670591808,0.0008684227343571001,316.0,175.0
V333,False,True,,,,
V334,False,True,,,,
V335,False,False,0.0,0.0002185190403505768,333.0,279.0
V336,False,True,,,,
V337,False,True,,,,
V338,False,False,0.0,0.0002444529067496652,333.0,274.0
V339,False,True,,,,
id_01,False,False,0.015135151288346638,0.0014591151365024465,67.0,138.0
id_02,False,False,0.012879531398898525,0.003214237316038314,95.0,86.0
id_03,False,False,0.0013892130594184149,3.8314950798662004e-05,294.0,327.0
id_04,False,False,0.0009127929991639139,1.2814961658064181e-05,311.0,336.0
id_05,False,False,0.00357363581444492,0.0012806232219592783,255.0,147.0
id_06,False,False,0.004622676766618872,0.009913321767518657,234.0,32.0
id_09,False,False,0.0007554293176055271,6.853450984132888e-05,313.0,315.0
id_10,False,False,0.0004115993906426141,2.3959483372798465e-05,319.0,334.0
id_11,False,False,0.010496086420617168,4.362506191693e-05,138.0,321.0
id_12,False,False,0.011995697817547502,0.0030327975633970498,113.0,90.0
id_13,False,False,0.016495875983114194,0.001054178202640094,43.0,162.0
id_14,False,False,0.00692898361254124,0.0008542164533671306,200.0,177.0
id_15,False,False,0.014902170968940753,0.0038145890309164657,72.0,75.0
id_16,False,False,0.013998961848538105,0.0006110685783498995,82.0,206.0
id_17,False,False,0.018867855485138696,0.004946769147362123,25.0,61.0
id_19,False,False,0.018755363706378425,0.0006351350120349514,27.0,202.0
id_20,False,False,0.01787029527029249,0.0023113449747848517,32.0,114.0
id_28,False,False,0.01605155552902504,0.0026674988479090237,52.0,100.0
id_29,False,False,0.01703702421137465,0.0012164235809896098,36.0,151.0
id_30,False,False,0.0031163085251906253,0.001526558041563739,265.0,136.0
id_31,False,False,0.010223683182814636,0.004503385920701056,146.0,70.0
id_32,False,False,0.008042444915476343,0.00048347911792230016,178.0,225.0
id_33,False,False,0.0027585570202466325,0.0007935370541936389,273.0,186.0
id_34,False,False,0.012937230032602054,0.0005074521616672471,93.0,220.0
id_35,False,False,0.017442881010057976,0.00649583546134337,34.0,49.0
id_36,False,False,0.01846632047353003,0.005596618845360017,29.0,52.0
id_37,False,False,0.013819980918937436,0.004573403213615689,84.0,68.0
id_38,False,False,0.016089307226333283,0.002319640871749287,51.0,113.0
DeviceType,False,False,0.01456816796419047,0.003674715554609781,76.0,78.0
DeviceInfo,False,False,0.009131032285421226,0.0010553110219421796,161.0,161.0
transaction_hour,False,True,,,,
transaction_day_of_week,False,False,1.0601651925901123e-05,0.0012429927073597314,332.0,148.0
TransactionAmt_log,False,False,0.016733600748050748,0.01030397418943328,40.0,30.0
TransactionAmt_decimal,False,False,0.012180758652004409,0.01173106760149123,108.0,22.0
email_domain_match,False,True,,,,
P_emaildomain_grouped,False,False,0.0033844579070476666,0.0031174815519626324,258.0,88.0
R_emaildomain_grouped,False,False,0.01668879800069445,0.005754512020011534,41.0,51.0
